 0.9747260E+1  ,  0.1993748E-3
 0.9747619E+1  ,  0.2001891E-3
 0.9747977E+1  ,  0.2010107E-3
 0.9748336E+1  ,  0.2018398E-3
 0.9748695E+1  ,  0.2026765E-3
 0.9749053E+1  ,  0.2035208E-3
 0.9749412E+1  ,  0.2043729E-3
 0.9749771E+1  ,  0.2052329E-3
 0.9750129E+1  ,  0.2061009E-3
 0.9750488E+1  ,  0.2069770E-3
 0.9750847E+1  ,  0.2078614E-3
 0.9751205E+1  ,  0.2087542E-3
 0.9751564E+1  ,  0.2096555E-3
 0.9751923E+1  ,  0.2105655E-3
 0.9752281E+1  ,  0.2114842E-3
 0.9752640E+1  ,  0.2124118E-3
 0.9752998E+1  ,  0.2133485E-3
 0.9753357E+1  ,  0.2142943E-3
 0.9753716E+1  ,  0.2152495E-3
 0.9754074E+1  ,  0.2162142E-3
 0.9754433E+1  ,  0.2171885E-3
 0.9754792E+1  ,  0.2181726E-3
 0.9755150E+1  ,  0.2191666E-3
 0.9755509E+1  ,  0.2201707E-3
 0.9755868E+1  ,  0.2211851E-3
 0.9756226E+1  ,  0.2222099E-3
 0.9756585E+1  ,  0.2232453E-3
 0.9756944E+1  ,  0.2242915E-3
 0.9757302E+1  ,  0.2253486E-3
 0.9757661E+1  ,  0.2264169E-3
 0.9758019E+1  ,  0.2274965E-3
 0.9758378E+1  ,  0.2285876E-3
 0.9758737E+1  ,  0.2296904E-3
 0.9759095E+1  ,  0.2308051E-3
 0.9759454E+1  ,  0.2319319E-3
 0.9759813E+1  ,  0.2330710E-3
 0.9760171E+1  ,  0.2342227E-3
 0.9760530E+1  ,  0.2353871E-3
 0.9760889E+1  ,  0.2365644E-3
 0.9761247E+1  ,  0.2377550E-3
 0.9761606E+1  ,  0.2389590E-3
 0.9761965E+1  ,  0.2401766E-3
 0.9762323E+1  ,  0.2414082E-3
 0.9762682E+1  ,  0.2426539E-3
 0.9763040E+1  ,  0.2439140E-3
 0.9763399E+1  ,  0.2451888E-3
 0.9763758E+1  ,  0.2464786E-3
 0.9764116E+1  ,  0.2477836E-3
 0.9764475E+1  ,  0.2491040E-3
 0.9764834E+1  ,  0.2504403E-3
 0.9765192E+1  ,  0.2517926E-3
 0.9765551E+1  ,  0.2531614E-3
 0.9765910E+1  ,  0.2545468E-3
 0.9766268E+1  ,  0.2559492E-3
 0.9766627E+1  ,  0.2573690E-3
 0.9766985E+1  ,  0.2588064E-3
 0.9767344E+1  ,  0.2602619E-3
 0.9767703E+1  ,  0.2617357E-3
 0.9768061E+1  ,  0.2632283E-3
 0.9768420E+1  ,  0.2647399E-3
 0.9768779E+1  ,  0.2662711E-3
 0.9769137E+1  ,  0.2678221E-3
 0.9769496E+1  ,  0.2693933E-3
 0.9769855E+1  ,  0.2709852E-3
 0.9770213E+1  ,  0.2725982E-3
 0.9770572E+1  ,  0.2742328E-3
 0.9770931E+1  ,  0.2758893E-3
 0.9771289E+1  ,  0.2775682E-3
 0.9771648E+1  ,  0.2792700E-3
 0.9772006E+1  ,  0.2809952E-3
 0.9772365E+1  ,  0.2827442E-3
 0.9772724E+1  ,  0.2845176E-3
 0.9773082E+1  ,  0.2863159E-3
 0.9773441E+1  ,  0.2881396E-3
 0.9773800E+1  ,  0.2899893E-3
 0.9774158E+1  ,  0.2918656E-3
 0.9774517E+1  ,  0.2937689E-3
 0.9774876E+1  ,  0.2957000E-3
 0.9775234E+1  ,  0.2976594E-3
 0.9775593E+1  ,  0.2996478E-3
 0.9775952E+1  ,  0.3016658E-3
 0.9776310E+1  ,  0.3037141E-3
 0.9776669E+1  ,  0.3057934E-3
 0.9777027E+1  ,  0.3079044E-3
 0.9777386E+1  ,  0.3100478E-3
 0.9777745E+1  ,  0.3122244E-3
 0.9778103E+1  ,  0.3144350E-3
 0.9778462E+1  ,  0.3166803E-3
 0.9778821E+1  ,  0.3189612E-3
 0.9779179E+1  ,  0.3212786E-3
 0.9779538E+1  ,  0.3236333E-3
 0.9779897E+1  ,  0.3260262E-3
 0.9780255E+1  ,  0.3284583E-3
 0.9780614E+1  ,  0.3309304E-3
 0.9780973E+1  ,  0.3334437E-3
 0.9781331E+1  ,  0.3359992E-3
 0.9781690E+1  ,  0.3385978E-3
 0.9782048E+1  ,  0.3412408E-3
 0.9782407E+1  ,  0.3439291E-3
 0.9782766E+1  ,  0.3466641E-3
 0.9783124E+1  ,  0.3494468E-3
 0.9783483E+1  ,  0.3522786E-3
 0.9783842E+1  ,  0.3551607E-3
 0.9784200E+1  ,  0.3580944E-3
 0.9784559E+1  ,  0.3610812E-3
 0.9784918E+1  ,  0.3641225E-3
 0.9785276E+1  ,  0.3672196E-3
 0.9785635E+1  ,  0.3703742E-3
 0.9785994E+1  ,  0.3735878E-3
 0.9786352E+1  ,  0.3768621E-3
 0.9786711E+1  ,  0.3801988E-3
 0.9787069E+1  ,  0.3835995E-3
 0.9787428E+1  ,  0.3870661E-3
 0.9787787E+1  ,  0.3906005E-3
 0.9788145E+1  ,  0.3942047E-3
 0.9788504E+1  ,  0.3978806E-3
 0.9788863E+1  ,  0.4016303E-3
 0.9789221E+1  ,  0.4054561E-3
 0.9789580E+1  ,  0.4093602E-3
 0.9789939E+1  ,  0.4133449E-3
 0.9790297E+1  ,  0.4174126E-3
 0.9790656E+1  ,  0.4215659E-3
 0.9791015E+1  ,  0.4258074E-3
 0.9791373E+1  ,  0.4301399E-3
 0.9791732E+1  ,  0.4345661E-3
 0.9792090E+1  ,  0.4390890E-3
 0.9792449E+1  ,  0.4437116E-3
 0.9792808E+1  ,  0.4484373E-3
 0.9793166E+1  ,  0.4532692E-3
 0.9793525E+1  ,  0.4582108E-3
 0.9793884E+1  ,  0.4632657E-3
 0.9794242E+1  ,  0.4684378E-3
 0.9794601E+1  ,  0.4737308E-3
 0.9794960E+1  ,  0.4791489E-3
 0.9795318E+1  ,  0.4846962E-3
 0.9795677E+1  ,  0.4903773E-3
 0.9796035E+1  ,  0.4961968E-3
 0.9796394E+1  ,  0.5021595E-3
 0.9796753E+1  ,  0.5082703E-3
 0.9797111E+1  ,  0.5145347E-3
 0.9797470E+1  ,  0.5209581E-3
 0.9797829E+1  ,  0.5275462E-3
 0.9798187E+1  ,  0.5343052E-3
 0.9798546E+1  ,  0.5412412E-3
 0.9798905E+1  ,  0.5483608E-3
 0.9799263E+1  ,  0.5556711E-3
 0.9799622E+1  ,  0.5631792E-3
 0.9799981E+1  ,  0.5708927E-3
 0.9800339E+1  ,  0.5788195E-3
 0.9800698E+1  ,  0.5869680E-3
 0.9801056E+1  ,  0.5953471E-3
 0.9801415E+1  ,  0.6039657E-3
 0.9801774E+1  ,  0.6128337E-3
 0.9802132E+1  ,  0.6219612E-3
 0.9802491E+1  ,  0.6313588E-3
 0.9802850E+1  ,  0.6410378E-3
 0.9803208E+1  ,  0.6510100E-3
 0.9803567E+1  ,  0.6612878E-3
 0.9803926E+1  ,  0.6718844E-3
 0.9804284E+1  ,  0.6828137E-3
 0.9804643E+1  ,  0.6940900E-3
 0.9805002E+1  ,  0.7057290E-3
 0.9805360E+1  ,  0.7177468E-3
 0.9805719E+1  ,  0.7301606E-3
 0.9806077E+1  ,  0.7429886E-3
 0.9806436E+1  ,  0.7562499E-3
 0.9806795E+1  ,  0.7699649E-3
 0.9807153E+1  ,  0.7841551E-3
 0.9807512E+1  ,  0.7988433E-3
 0.9807871E+1  ,  0.8140537E-3
 0.9808229E+1  ,  0.8298119E-3
 0.9808588E+1  ,  0.8461453E-3
 0.9808947E+1  ,  0.8630828E-3
 0.9809305E+1  ,  0.8806551E-3
 0.9809664E+1  ,  0.8988950E-3
 0.9810023E+1  ,  0.9178374E-3
 0.9810381E+1  ,  0.9375194E-3
 0.9810740E+1  ,  0.9579807E-3
 0.9811098E+1  ,  0.9792636E-3
 0.9811457E+1  ,  0.1001413E-2
 0.9811816E+1  ,  0.1024478E-2
 0.9812174E+1  ,  0.1048509E-2
 0.9812533E+1  ,  0.1073562E-2
 0.9812892E+1  ,  0.1099696E-2
 0.9813250E+1  ,  0.1126975E-2
 0.9813609E+1  ,  0.1155467E-2
 0.9813968E+1  ,  0.1185245E-2
 0.9814326E+1  ,  0.1216387E-2
 0.9814685E+1  ,  0.1248980E-2
 0.9815044E+1  ,  0.1283113E-2
 0.9815402E+1  ,  0.1318886E-2
 0.9815761E+1  ,  0.1356404E-2
 0.9816119E+1  ,  0.1395783E-2
 0.9816478E+1  ,  0.1437147E-2
 0.9816837E+1  ,  0.1480631E-2
 0.9817195E+1  ,  0.1526379E-2
 0.9817554E+1  ,  0.1574552E-2
 0.9817913E+1  ,  0.1625319E-2
 0.9818271E+1  ,  0.1678869E-2
 0.9818630E+1  ,  0.1735405E-2
 0.9818989E+1  ,  0.1795149E-2
 0.9819347E+1  ,  0.1858342E-2
 0.9819706E+1  ,  0.1925249E-2
 0.9820065E+1  ,  0.1996160E-2
 0.9820423E+1  ,  0.2071390E-2
 0.9820782E+1  ,  0.2151288E-2
 0.9821140E+1  ,  0.2236233E-2
 0.9821499E+1  ,  0.2326645E-2
 0.9821858E+1  ,  0.2422984E-2
 0.9822216E+1  ,  0.2525757E-2
 0.9822575E+1  ,  0.2635522E-2
 0.9822934E+1  ,  0.2752896E-2
 0.9823292E+1  ,  0.2878561E-2
 0.9823651E+1  ,  0.3013267E-2
 0.9824010E+1  ,  0.3157848E-2
 0.9824368E+1  ,  0.3313225E-2
 0.9824727E+1  ,  0.3480416E-2
 0.9825085E+1  ,  0.3660549E-2
 0.9825444E+1  ,  0.3854875E-2
 0.9825803E+1  ,  0.4064773E-2
 0.9826161E+1  ,  0.4291771E-2
 0.9826520E+1  ,  0.4537553E-2
 0.9826879E+1  ,  0.4803973E-2
 0.9827237E+1  ,  0.5093064E-2
 0.9827596E+1  ,  0.5407048E-2
 0.9827955E+1  ,  0.5748335E-2
 0.9828313E+1  ,  0.6119520E-2
 0.9828672E+1  ,  0.6523367E-2
 0.9829031E+1  ,  0.6962771E-2
 0.9829389E+1  ,  0.7440703E-2
 0.9829748E+1  ,  0.7960115E-2
 0.9830106E+1  ,  0.8523807E-2
 0.9830465E+1  ,  0.9134227E-2
 0.9830824E+1  ,  0.9793196E-2
 0.9831182E+1  ,  0.1050155E-1
 0.9831541E+1  ,  0.1125865E-1
 0.9831900E+1  ,  0.1206183E-1
 0.9832258E+1  ,  0.1290566E-1
 0.9832617E+1  ,  0.1378123E-1
 0.9832976E+1  ,  0.1467538E-1
